incident_id,incident_type,person_trapped,injury_reported,fire_present,hospital_affected,elderly_or_children,hazardous_material,building_collapse_flag,critical_infrastructure,num_sources,ground_confirmed,agreement_ratio,recency_minutes,num_reports,severity_score,severity_class,confidence_score
36,building_collapse,0,0,0,0,0,0,1,0,3.0,0.0,0.72,32.0,17,49,MEDIUM,94.1
37,chemical_leak,1,0,0,1,1,1,0,0,1.0,1.0,1.0,24.0,9,100,CRITICAL,84.6
38,flood,1,1,0,0,1,0,0,0,3.0,0.0,0.73,43.0,16,100,CRITICAL,99.2
39,road_blockage,0,1,0,0,0,0,0,0,3.0,0.0,0.66,144.0,10,31,MEDIUM,81.9
40,flood,0,0,0,0,1,0,0,1,2.0,1.0,0.85,28.0,10,37,MEDIUM,100.0
41,industrial_accident,0,0,0,1,0,1,0,1,1.0,0.0,,100.0,21,98,CRITICAL,54.7
42,medical_emergency,1,0,0,0,0,0,0,0,2.0,0.0,0.88,95.0,14,50,MEDIUM,73.7
43,fire,0,1,0,0,1,0,0,1,,0.0,0.51,172.0,6,89,CRITICAL,73.7
44,industrial_accident,0,0,0,0,0,1,0,0,3.0,0.0,0.99,14.0,9,43,MEDIUM,97.5
45,medical_emergency,0,0,0,0,0,0,0,0,1.0,0.0,0.69,34.0,11,0,LOW,52.5
46,fire,1,0,1,0,0,0,0,0,2.0,0.0,1.0,114.0,6,94,CRITICAL,69.9
47,building_collapse,1,1,0,0,0,0,1,0,2.0,1.0,0.55,67.0,10,100,CRITICAL,84.8
48,building_collapse,0,0,0,0,0,1,1,0,2.0,1.0,0.83,,16,92,CRITICAL,100.0
49,power_outage,0,0,0,1,1,0,0,0,3.0,0.0,0.67,89.0,15,54,MEDIUM,89.8
50,industrial_accident,1,0,0,0,1,1,0,0,3.0,0.0,0.51,81.0,9,100,CRITICAL,94.1
51,medical_emergency,1,0,0,0,1,0,0,0,3.0,0.0,1.0,80.0,12,75,HIGH,100.0
52,road_blockage,0,1,0,0,1,0,0,1,2.0,0.0,0.59,161.0,8,91,CRITICAL,53.9
53,building_collapse,1,0,0,0,0,0,1,1,1.0,1.0,0.66,138.0,19,100,CRITICAL,67.0
54,medical_emergency,0,0,0,0,0,0,0,1,2.0,1.0,0.9,34.0,15,19,LOW,100.0
55,fire,0,1,1,0,0,0,0,0,2.0,0.0,0.87,73.0,12,86,HIGH,82.8
56,industrial_accident,0,0,0,0,0,1,0,1,2.0,0.0,0.86,178.0,8,76,HIGH,68.8
57,road_blockage,0,1,0,0,0,0,0,0,1.0,1.0,0.73,68.0,9,38,MEDIUM,81.6
58,road_blockage,1,1,0,1,0,0,1,0,3.0,1.0,0.89,64.0,9,100,CRITICAL,100.0
59,fire,0,0,1,0,0,0,0,0,1.0,0.0,0.39,76.0,9,62,HIGH,47.2
60,building_collapse,0,0,0,0,0,0,1,0,3.0,0.0,0.91,102.0,12,65,HIGH,100.0
61,medical_emergency,0,0,0,0,0,0,0,1,,0.0,0.8,91.0,9,30,LOW,50.2
62,road_blockage,0,1,0,0,0,0,1,0,1.0,0.0,0.92,106.0,12,100,CRITICAL,54.1
63,building_collapse,0,0,0,0,0,0,1,0,2.0,1.0,0.66,131.0,6,45,MEDIUM,94.2
64,road_blockage,0,0,0,0,1,0,0,0,1.0,0.0,0.74,50.0,21,20,LOW,51.7
65,medical_emergency,1,0,1,1,1,0,0,0,3.0,0.0,0.94,16.0,9,100,CRITICAL,100.0
66,flood,0,1,0,0,1,0,0,1,1.0,,0.64,177.0,11,68,CRITICAL,60.4
67,flood,0,1,0,0,0,0,0,0,3.0,0.0,0.79,37.0,21,36,MEDIUM,82.1
68,road_blockage,1,1,0,0,0,0,0,0,2.0,0.0,0.61,42.0,4,84,CRITICAL,67.0
69,flood,0,0,0,0,1,0,0,0,2.0,0.0,0.44,3.0,9,25,LOW,65.1
70,industrial_accident,0,0,0,0,1,1,0,0,1.0,0.0,0.79,29.0,6,68,HIGH,51.8
71,flood,1,1,0,0,0,0,0,0,3.0,1.0,0.52,164.0,31,92,CRITICAL,96.2
72,medical_emergency,1,0,0,1,0,0,0,0,3.0,0.0,0.6,133.0,5,77,HIGH,79.4
73,power_outage,0,1,0,0,1,0,0,0,,0.0,0.57,58.0,19,60,HIGH,90.5
74,building_collapse,1,1,0,1,0,0,1,0,2.0,1.0,0.76,6.0,11,100,CRITICAL,100.0
75,power_outage,0,1,0,1,0,0,0,0,1.0,1.0,0.82,170.0,10,71,HIGH,70.2
76,building_collapse,1,1,1,0,0,0,1,0,2.0,,0.78,118.0,12,100,CRITICAL,74.0
77,industrial_accident,1,1,0,0,1,1,0,0,2.0,0.0,,62.0,10,100,CRITICAL,71.3
78,building_collapse,1,1,0,0,1,1,1,0,1.0,0.0,0.65,87.0,76,100,CRITICAL,45.4
79,building_collapse,1,0,0,0,1,0,1,0,3.0,,,110.0,15,100,CRITICAL,100.0
80,fire,0,0,1,0,0,0,0,0,1.0,0.0,0.98,109.0,21,54,MEDIUM,53.8
81,road_blockage,1,0,0,0,0,0,0,0,3.0,1.0,0.43,1.0,10,61,HIGH,100.0
82,medical_emergency,0,0,0,0,1,0,0,0,3.0,1.0,0.85,97.0,5,31,MEDIUM,100.0
83,flood,0,1,0,0,0,0,0,0,2.0,1.0,0.91,43.0,4,39,LOW,100.0
84,chemical_leak,1,0,0,0,0,1,0,0,2.0,0.0,0.45,168.0,10,100,CRITICAL,64.2
85,road_blockage,1,0,0,0,0,0,0,0,1.0,0.0,,145.0,41,52,MEDIUM,46.0
86,chemical_leak,0,0,0,1,0,1,0,1,3.0,0.0,0.76,151.0,8,94,CRITICAL,99.3
87,power_outage,1,0,0,0,0,0,0,0,3.0,,0.56,,7,50,MEDIUM,100.0
88,building_collapse,0,0,0,0,0,0,1,1,1.0,0.0,0.6,68.0,25,73,HIGH,42.6
89,flood,0,1,0,0,0,0,0,0,2.0,0.0,1.0,9.0,31,28,LOW,78.2
90,road_blockage,1,0,0,0,1,0,0,1,1.0,1.0,1.0,3.0,9,92,CRITICAL,88.2
91,road_blockage,0,0,0,0,1,0,0,0,1.0,0.0,0.74,125.0,19,17,LOW,53.3
92,flood,0,0,0,0,0,0,0,1,3.0,0.0,0.61,166.0,7,21,LOW,80.9
93,road_blockage,0,0,0,1,0,0,0,0,,0.0,0.78,115.0,9,36,MEDIUM,66.1
94,power_outage,1,1,0,0,1,0,0,0,1.0,1.0,0.67,179.0,12,100,CRITICAL,61.4
95,road_blockage,0,0,0,0,1,0,0,0,3.0,1.0,0.73,134.0,8,14,LOW,100.0
96,building_collapse,0,0,0,1,0,0,1,0,2.0,0.0,,51.0,11,80,CRITICAL,56.6
97,flood,1,0,0,0,1,0,0,1,2.0,0.0,0.81,158.0,8,100,CRITICAL,68.8
98,chemical_leak,1,0,0,1,0,1,0,1,3.0,0.0,0.66,13.0,23,100,CRITICAL,90.5
99,medical_emergency,1,0,0,0,1,0,0,0,2.0,0.0,0.62,140.0,9,72,HIGH,50.0
100,power_outage,1,1,0,0,0,0,0,0,,1.0,0.97,164.0,10,86,CRITICAL,100.0
101,building_collapse,0,1,0,0,0,0,1,0,1.0,1.0,0.67,179.0,17,100,CRITICAL,63.0
102,road_blockage,0,1,0,0,0,0,0,1,2.0,0.0,0.74,118.0,6,70,HIGH,71.4
103,flood,0,1,1,0,1,0,0,0,1.0,0.0,0.81,56.0,14,100,CRITICAL,49.4
104,chemical_leak,1,0,0,0,0,1,0,0,3.0,0.0,0.4,115.0,8,100,CRITICAL,78.4
105,industrial_accident,1,1,0,1,1,1,0,0,1.0,0.0,0.91,168.0,9,100,CRITICAL,50.8
106,building_collapse,0,0,1,0,0,0,1,0,1.0,1.0,1.0,24.0,9,100,CRITICAL,91.7
107,power_outage,0,1,0,0,1,0,0,0,1.0,1.0,0.51,45.0,12,44,MEDIUM,72.5
108,road_blockage,0,0,1,0,1,0,0,1,3.0,0.0,1.0,34.0,15,95,CRITICAL,100.0
109,medical_emergency,0,1,0,0,0,0,0,0,3.0,0.0,0.68,116.0,7,21,LOW,74.5
110,building_collapse,0,0,1,0,0,0,1,0,3.0,0.0,0.82,107.0,17,100,CRITICAL,94.4
111,power_outage,0,1,0,0,0,0,0,1,3.0,1.0,1.0,58.0,10,75,HIGH,100.0
112,power_outage,0,0,0,0,0,0,0,0,3.0,1.0,1.0,13.0,9,0,LOW,100.0
113,building_collapse,1,0,0,0,0,0,1,0,1.0,,0.73,141.0,11,98,CRITICAL,69.7
114,medical_emergency,1,0,0,0,0,0,0,0,3.0,1.0,0.7,29.0,21,53,MEDIUM,100.0
115,medical_emergency,0,1,0,0,0,0,0,0,2.0,0.0,,63.0,10,46,MEDIUM,67.8
116,flood,1,0,1,0,1,0,0,0,2.0,1.0,0.74,,12,100,CRITICAL,93.9
117,power_outage,1,1,1,1,0,0,0,1,1.0,1.0,0.61,54.0,4,100,CRITICAL,69.0
118,medical_emergency,0,0,0,1,1,1,0,0,1.0,1.0,0.88,25.0,8,100,CRITICAL,84.7
119,building_collapse,0,1,0,0,1,0,1,0,2.0,0.0,0.45,141.0,23,100,CRITICAL,67.4
120,fire,1,0,1,0,1,0,0,0,1.0,0.0,0.46,62.0,9,100,CRITICAL,49.5
121,chemical_leak,0,1,0,0,0,1,0,0,3.0,0.0,0.57,54.0,17,100,CRITICAL,92.3
122,building_collapse,0,0,0,0,0,0,1,0,3.0,1.0,1.0,176.0,10,60,MEDIUM,100.0
123,medical_emergency,1,0,0,0,0,1,0,0,3.0,1.0,0.98,133.0,9,79,CRITICAL,100.0
124,fire,0,0,1,1,1,0,0,0,2.0,0.0,0.69,86.0,15,99,CRITICAL,63.8
125,medical_emergency,0,0,0,0,0,0,0,0,3.0,0.0,0.7,121.0,10,8,LOW,78.3
126,chemical_leak,1,0,0,1,0,1,0,0,1.0,1.0,,44.0,19,100,CRITICAL,67.1
127,power_outage,0,0,0,0,1,0,0,1,2.0,0.0,0.78,9.0,15,46,MEDIUM,78.2
128,industrial_accident,0,0,0,0,0,1,1,0,1.0,0.0,0.82,134.0,3,100,CRITICAL,47.5
129,road_blockage,0,0,0,0,0,0,0,0,3.0,0.0,0.64,18.0,15,9,LOW,94.5
130,building_collapse,0,1,0,0,0,0,1,1,3.0,0.0,0.94,29.0,7,100,CRITICAL,100.0
131,industrial_accident,0,0,0,0,0,1,0,0,3.0,1.0,0.65,92.0,19,50,MEDIUM,100.0
132,road_blockage,0,1,0,0,0,0,0,0,3.0,0.0,0.78,80.0,9,33,MEDIUM,98.6
133,road_blockage,1,0,0,0,0,0,0,0,1.0,1.0,0.78,150.0,19,60,HIGH,71.6
134,flood,0,1,0,0,0,0,0,0,1.0,,0.55,96.0,8,32,MEDIUM,66.5
135,building_collapse,0,0,0,0,1,0,1,0,2.0,0.0,0.88,171.0,12,83,CRITICAL,64.1
136,fire,0,0,1,1,0,0,0,0,3.0,0.0,0.71,31.0,7,76,HIGH,94.3
137,building_collapse,0,0,0,1,1,0,1,0,3.0,0.0,0.52,113.0,7,92,CRITICAL,73.7
138,fire,1,1,1,0,0,0,0,1,3.0,0.0,0.71,120.0,3,100,CRITICAL,83.5
139,flood,1,1,0,0,1,0,0,0,1.0,1.0,0.83,65.0,3,100,CRITICAL,75.2
140,building_collapse,0,0,0,0,0,0,1,0,3.0,0.0,0.74,158.0,8,50,MEDIUM,87.1
141,flood,0,1,0,1,0,0,0,0,3.0,0.0,0.48,41.0,8,56,HIGH,90.9
142,flood,1,0,0,0,0,0,0,0,3.0,0.0,1.0,70.0,13,45,MEDIUM,100.0
143,chemical_leak,1,0,0,0,0,1,0,0,2.0,0.0,1.0,33.0,10,99,CRITICAL,87.3
144,medical_emergency,0,0,0,0,0,0,0,0,1.0,0.0,0.79,116.0,11,0,LOW,53.6
145,flood,1,1,0,0,1,0,0,0,2.0,1.0,0.64,124.0,4,95,CRITICAL,90.9
146,building_collapse,0,0,0,0,0,0,1,0,1.0,0.0,0.95,165.0,25,46,MEDIUM,50.0
147,flood,0,0,0,0,0,0,1,1,1.0,0.0,,9.0,15,83,CRITICAL,62.9
148,fire,0,0,1,1,0,0,0,0,2.0,0.0,1.0,16.0,8,79,CRITICAL,77.3
149,chemical_leak,0,0,0,0,0,1,0,0,2.0,0.0,1.0,78.0,4,51,MEDIUM,80.2
150,fire,1,1,1,0,1,0,0,1,1.0,0.0,,81.0,7,100,CRITICAL,54.5
151,building_collapse,0,0,0,0,0,0,1,0,2.0,1.0,0.62,123.0,19,53,MEDIUM,93.7
152,industrial_accident,0,1,0,0,0,1,0,0,3.0,0.0,0.7,4.0,5,76,HIGH,95.6
153,medical_emergency,0,1,1,1,0,0,0,0,3.0,1.0,0.99,44.0,25,100,CRITICAL,100.0
154,fire,0,1,1,0,0,0,0,0,2.0,0.0,0.89,153.0,7,83,CRITICAL,60.7
155,chemical_leak,1,0,0,1,0,1,0,0,2.0,0.0,0.87,37.0,7,100,CRITICAL,87.0
156,medical_emergency,0,0,1,1,0,0,0,0,2.0,1.0,0.63,136.0,6,88,CRITICAL,87.2
157,flood,0,0,0,0,0,0,0,0,3.0,0.0,0.69,103.0,19,10,LOW,81.3
158,power_outage,1,0,0,0,1,0,0,0,3.0,0.0,0.97,113.0,31,73,HIGH,91.9
159,industrial_accident,0,0,0,0,0,1,0,1,2.0,0.0,0.14,145.0,7,63,MEDIUM,42.0
160,building_collapse,1,0,0,0,0,0,1,1,3.0,1.0,0.54,3.0,12,100,CRITICAL,100.0
161,medical_emergency,1,0,0,0,1,0,0,0,3.0,1.0,0.79,101.0,9,51,MEDIUM,100.0
162,road_blockage,0,0,0,0,0,0,0,0,,0.0,1.0,104.0,21,8,LOW,98.0
163,flood,0,1,0,0,0,0,0,0,2.0,0.0,0.45,158.0,31,44,MEDIUM,53.3
164,fire,0,0,1,1,1,0,0,0,1.0,0.0,0.84,52.0,11,96,CRITICAL,51.2
165,medical_emergency,0,1,1,1,0,0,0,0,3.0,0.0,0.95,34.0,12,100,CRITICAL,98.7
166,building_collapse,0,0,0,0,0,1,1,0,2.0,0.0,0.78,70.0,7,100,CRITICAL,73.3
167,fire,1,0,1,0,0,0,0,1,1.0,1.0,,77.0,8,100,CRITICAL,79.6
168,medical_emergency,0,0,0,0,1,0,0,0,1.0,1.0,0.56,18.0,11,20,LOW,75.9
169,medical_emergency,0,0,0,0,1,0,0,0,3.0,1.0,0.67,39.0,9,27,MEDIUM,100.0
170,medical_emergency,0,1,1,0,1,0,1,0,1.0,0.0,0.66,121.0,11,100,CRITICAL,53.2
171,power_outage,0,0,0,0,1,0,0,1,,1.0,0.88,54.0,17,41,MEDIUM,100.0
172,fire,1,1,1,0,1,0,0,1,2.0,1.0,0.57,93.0,15,100,CRITICAL,94.5
173,medical_emergency,0,0,0,0,0,0,0,1,2.0,0.0,0.96,12.0,17,22,LOW,79.6
174,medical_emergency,0,0,0,0,0,0,0,0,1.0,0.0,0.6,76.0,9,0,LOW,50.8
175,building_collapse,0,0,0,0,1,0,1,0,2.0,,0.9,1.0,16,81,CRITICAL,83.3
176,medical_emergency,0,0,0,0,0,1,0,0,2.0,0.0,0.8,125.0,10,42,MEDIUM,74.5
177,power_outage,0,0,0,1,1,0,0,0,3.0,1.0,1.0,60.0,9,41,MEDIUM,100.0
178,road_blockage,0,0,0,1,1,0,0,0,1.0,0.0,0.8,117.0,9,44,MEDIUM,54.0
179,fire,0,1,1,0,0,0,0,1,2.0,0.0,1.0,147.0,9,100,CRITICAL,75.6
180,industrial_accident,0,0,0,0,1,1,0,0,1.0,1.0,,169.0,7,66,HIGH,67.7
181,power_outage,0,0,0,0,0,0,0,0,3.0,1.0,0.83,144.0,17,0,LOW,100.0
182,chemical_leak,1,1,0,0,1,1,0,1,3.0,0.0,0.41,38.0,17,100,CRITICAL,84.1
183,flood,1,0,0,0,1,0,0,0,2.0,0.0,0.9,142.0,9,74,HIGH,70.7
184,flood,0,0,0,0,0,0,0,0,2.0,1.0,0.46,51.0,10,3,LOW,99.9
185,road_blockage,1,1,0,0,0,0,0,0,2.0,0.0,0.65,176.0,8,100,CRITICAL,50.5
186,chemical_leak,0,0,0,0,0,1,0,0,2.0,0.0,0.47,38.0,17,48,MEDIUM,71.5
187,fire,0,1,1,0,0,0,0,0,1.0,0.0,0.87,154.0,13,85,CRITICAL,50.7
188,power_outage,0,0,1,0,0,0,0,1,1.0,1.0,0.9,156.0,10,77,HIGH,73.0
189,building_collapse,1,0,0,0,1,0,1,0,3.0,0.0,0.52,69.0,31,100,CRITICAL,83.2
190,road_blockage,0,0,0,0,1,0,0,0,3.0,0.0,0.68,167.0,23,12,LOW,84.1
191,building_collapse,0,1,0,0,1,1,1,0,2.0,1.0,0.79,,14,100,CRITICAL,100.0
192,industrial_accident,0,1,0,0,1,1,0,1,2.0,1.0,0.65,2.0,13,100,CRITICAL,95.2
193,flood,0,1,0,0,0,0,0,0,2.0,0.0,0.94,61.0,12,29,LOW,78.6
194,road_blockage,0,0,0,0,0,0,1,1,1.0,0.0,0.7,139.0,8,77,HIGH,42.6
195,chemical_leak,1,0,0,0,1,1,0,0,1.0,1.0,0.81,93.0,11,100,CRITICAL,70.0
196,industrial_accident,0,1,0,0,0,1,0,0,2.0,1.0,0.7,45.0,5,91,CRITICAL,95.6
197,road_blockage,0,0,0,0,0,0,0,0,1.0,,0.64,121.0,9,0,LOW,45.6
198,building_collapse,0,0,0,0,0,0,1,0,1.0,1.0,0.51,102.0,56,59,HIGH,74.9
199,chemical_leak,0,0,0,0,0,1,0,0,3.0,1.0,1.0,99.0,25,41,MEDIUM,100.0
200,chemical_leak,0,1,0,0,1,1,0,0,,0.0,0.88,153.0,7,100,CRITICAL,87.4
201,road_blockage,0,0,1,0,1,0,0,1,1.0,1.0,0.68,,9,97,CRITICAL,76.6
202,chemical_leak,0,0,0,0,0,1,0,1,2.0,1.0,0.84,81.0,7,79,CRITICAL,87.4
203,power_outage,1,0,0,1,0,0,0,0,2.0,1.0,0.78,,10,82,CRITICAL,98.6
204,building_collapse,0,0,0,0,0,0,1,0,1.0,0.0,0.89,52.0,4,61,HIGH,64.5
205,medical_emergency,0,0,0,0,0,0,0,0,3.0,1.0,1.0,78.0,6,0,LOW,100.0
206,power_outage,0,0,0,0,1,0,0,0,1.0,,0.35,28.0,23,26,LOW,46.3
207,chemical_leak,0,1,0,0,1,1,0,1,2.0,0.0,0.92,39.0,6,100,CRITICAL,81.2
208,medical_emergency,0,1,0,1,0,0,0,0,1.0,0.0,0.75,6.0,7,67,HIGH,51.3
209,flood,0,0,0,1,0,0,0,0,3.0,0.0,1.0,31.0,11,36,MEDIUM,98.7
210,chemical_leak,0,0,0,1,0,1,0,0,3.0,1.0,0.7,126.0,8,69,HIGH,100.0
211,industrial_accident,1,0,0,0,1,1,0,0,2.0,0.0,0.62,144.0,3,100,CRITICAL,64.6
212,road_blockage,0,0,1,0,0,0,0,0,1.0,0.0,,174.0,41,56,HIGH,50.7
213,medical_emergency,0,1,0,0,0,0,0,0,3.0,0.0,1.0,12.0,10,43,MEDIUM,96.9
214,fire,0,0,1,0,0,0,0,0,1.0,1.0,1.0,36.0,6,50,LOW,91.0
215,flood,0,0,0,0,0,0,0,0,3.0,0.0,0.61,,10,0,LOW,86.6
216,chemical_leak,1,0,0,1,0,1,0,0,2.0,1.0,0.92,43.0,3,100,CRITICAL,98.5
217,fire,1,1,1,0,0,0,0,0,1.0,0.0,0.7,59.0,10,100,CRITICAL,51.6
218,road_blockage,0,0,1,0,0,0,0,0,3.0,1.0,0.55,60.0,11,50,MEDIUM,100.0
219,power_outage,1,0,0,0,0,0,0,0,2.0,0.0,0.87,73.0,4,63,HIGH,83.7
220,fire,0,1,1,0,0,0,0,0,1.0,1.0,0.89,,21,84,CRITICAL,90.9
221,fire,1,0,1,0,0,0,0,0,3.0,1.0,0.6,11.0,10,98,HIGH,100.0
222,road_blockage,0,1,1,0,1,0,1,0,2.0,0.0,0.96,78.0,4,100,HIGH,77.3
223,medical_emergency,0,0,0,1,0,1,0,0,2.0,1.0,0.73,68.0,6,70,HIGH,97.1
224,medical_emergency,1,0,1,0,1,0,0,0,3.0,0.0,0.74,2.0,29,100,CRITICAL,90.3
225,fire,0,0,1,0,0,0,1,0,2.0,0.0,0.41,127.0,15,100,CRITICAL,63.5
226,flood,0,0,0,0,0,0,0,1,3.0,0.0,0.88,136.0,15,21,LOW,94.7
227,industrial_accident,0,0,0,1,0,1,0,0,1.0,0.0,0.87,24.0,23,57,HIGH,50.8
228,building_collapse,0,1,1,1,0,0,1,0,2.0,0.0,0.7,124.0,12,100,CRITICAL,57.4
229,power_outage,0,0,1,0,1,0,0,0,1.0,1.0,0.6,14.0,5,55,MEDIUM,76.2
230,building_collapse,1,0,0,0,0,1,1,0,2.0,1.0,1.0,64.0,10,100,CRITICAL,100.0
231,medical_emergency,0,0,0,0,1,0,0,1,1.0,0.0,0.32,,4,52,MEDIUM,31.0
232,building_collapse,0,0,0,0,0,0,1,0,1.0,1.0,0.9,176.0,11,60,HIGH,69.7
233,fire,0,0,1,0,1,0,0,0,2.0,1.0,0.75,23.0,19,76,HIGH,100.0
234,flood,1,1,0,0,0,0,0,0,3.0,0.0,1.0,120.0,11,79,CRITICAL,94.2
235,industrial_accident,0,0,0,0,0,1,0,0,3.0,0.0,0.79,162.0,21,49,LOW,91.5
236,chemical_leak,1,0,0,1,1,1,0,0,2.0,0.0,0.93,20.0,5,100,CRITICAL,83.4
237,road_blockage,0,0,0,1,0,0,0,0,2.0,0.0,0.76,142.0,10,31,MEDIUM,69.6
238,flood,1,0,0,0,0,0,0,0,1.0,0.0,0.64,73.0,12,48,MEDIUM,49.0
239,flood,0,0,0,0,0,0,0,0,1.0,0.0,0.88,129.0,13,0,LOW,51.5
240,flood,0,0,0,0,0,0,0,1,3.0,1.0,1.0,138.0,23,19,LOW,100.0
241,road_blockage,0,0,0,0,1,0,0,0,1.0,0.0,0.9,29.0,8,21,LOW,64.6
242,medical_emergency,0,0,0,0,1,0,0,0,1.0,,0.7,137.0,12,21,LOW,44.1
243,medical_emergency,1,0,0,0,0,0,0,0,1.0,0.0,0.7,8.0,12,65,HIGH,55.7
244,building_collapse,0,1,0,0,0,0,1,0,1.0,0.0,0.96,27.0,8,100,CRITICAL,59.8
245,medical_emergency,0,0,0,1,0,0,0,0,2.0,1.0,0.55,46.0,9,33,MEDIUM,95.6
246,chemical_leak,0,0,0,1,0,1,0,0,1.0,0.0,0.96,154.0,13,74,HIGH,55.2
247,building_collapse,1,1,1,0,0,0,1,0,3.0,0.0,0.61,111.0,12,100,CRITICAL,87.7
248,flood,0,0,0,0,0,0,0,0,1.0,0.0,0.85,99.0,9,6,LOW,51.8
249,building_collapse,0,0,0,0,1,0,1,0,1.0,0.0,0.56,122.0,9,71,HIGH,44.8
250,road_blockage,0,0,0,0,0,0,0,0,2.0,1.0,0.64,168.0,8,6,LOW,95.9
251,medical_emergency,1,0,0,0,0,0,0,0,1.0,0.0,0.52,163.0,9,61,HIGH,40.4
252,chemical_leak,0,0,0,0,0,1,0,0,2.0,1.0,1.0,23.0,6,40,MEDIUM,100.0
253,flood,0,0,0,0,1,0,0,0,3.0,1.0,1.0,2.0,7,18,LOW,100.0
254,medical_emergency,1,1,0,0,0,0,0,0,1.0,0.0,0.96,12.0,19,85,CRITICAL,57.9
255,industrial_accident,0,0,0,0,0,1,0,0,2.0,0.0,0.72,94.0,7,37,MEDIUM,66.4
256,flood,0,1,0,0,0,0,0,0,1.0,0.0,0.46,3.0,7,41,MEDIUM,43.7
257,industrial_accident,1,1,0,0,0,1,0,0,2.0,1.0,1.0,175.0,19,100,CRITICAL,91.2
258,medical_emergency,0,1,0,0,0,0,0,0,3.0,0.0,0.6,110.0,9,41,MEDIUM,84.4
259,road_blockage,0,1,0,0,1,0,0,1,2.0,,0.6,114.0,4,81,CRITICAL,61.2
